sepal length,sepal width,petal length,petal width,class
var1,var3,var1,var1,Iris-setosa
var1,var4,var2,var1,Iris-setosa
var1,var4,var2,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var4,var2,var1,Iris-setosa
var2,var6,var2,var1,Iris-setosa
var1,var6,var1,var1,Iris-setosa
var2,var5,var1,var1,Iris-setosa
var2,var6,var1,var1,Iris-setosa
var1,var4,var2,var1,Iris-setosa
var3,var6,var2,var1,Iris-setosa
var2,var6,var2,var1,Iris-setosa
var1,var4,var2,var1,Iris-setosa
var1,var5,var2,var1,Iris-setosa
var1,var5,var2,var1,Iris-setosa
var2,var6,var2,var1,Iris-setosa
var2,var4,var2,var1,Iris-setosa
var2,var5,var2,var1,Iris-setosa
var1,var6,var2,var1,Iris-setosa
var2,var6,var1,var1,Iris-setosa
var2,var6,var1,var1,Iris-setosa
var2,var5,var2,var1,Iris-setosa
var1,var2,var1,var1,Iris-setosa
var1,var3,var1,var1,Iris-setosa
var1,var4,var1,var1,Iris-setosa
var3,var6,var1,var2,Iris-setosa
var1,var4,var1,var2,Iris-setosa
var2,var5,var1,var2,Iris-setosa
var1,var5,var1,var2,Iris-setosa
var3,var6,var1,var2,Iris-setosa
var3,var6,var1,var2,Iris-setosa
var1,var4,var1,var2,Iris-setosa
var1,var3,var1,var2,Iris-setosa
var2,var5,var1,var2,Iris-setosa
var2,var6,var2,var2,Iris-setosa
var1,var4,var1,var2,Iris-setosa
var1,var1,var1,var2,Iris-setosa
var1,var6,var1,var2,Iris-setosa
var1,var5,var1,var2,Iris-setosa
var3,var6,var2,var2,Iris-setosa
var2,var6,var1,var2,Iris-setosa
var2,var6,var2,var2,Iris-setosa
var2,var6,var2,var2,Iris-setosa
var2,var5,var2,var2,Iris-setosa
var3,var6,var2,var2,Iris-setosa
var2,var6,var2,var2,Iris-setosa
var1,var5,var2,var2,Iris-setosa
var3,var6,var1,var2,Iris-setosa
var2,var5,var2,var2,Iris-setosa
var2,var6,var2,var2,Iris-setosa
var2,var1,var3,var3,Iris-versicolor
var1,var1,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var2,var1,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var4,var1,var3,var3,Iris-versicolor
var2,var1,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var3,var1,var3,var3,Iris-versicolor
var4,var2,var3,var3,Iris-versicolor
var3,var1,var4,var3,Iris-versicolor
var4,var1,var3,var3,Iris-versicolor
var3,var3,var3,var3,Iris-versicolor
var4,var2,var4,var3,Iris-versicolor
