Cluster,Evaluacion,Amabilidad,Asesorias,Rapidez,Emocion BETO
0,3.444,2.111,4.556,3.333,0.0
1,7.75,4.25,5.0,2.25,0.0
2,8.0,3.0,4.5,5.0,1.0
3,6.5,1.667,1.5,1.833,1.0
4,5.0,4.0,1.0,1.0,1.0
5,8.0,3.9,2.6,5.0,0.0
6,4.5,4.0,3.5,4.0,2.0
7,1.0,1.667,5.0,5.0,0.0
8,2.417,2.167,2.333,1.583,0.0
9,4.333,3.667,1.667,3.0,2.0
10,0.333,2.0,2.667,1.333,2.0
11,0.0,5.0,3.667,2.667,0.0
12,6.75,2.75,4.0,5.0,0.0
13,3.0,4.0,3.0,3.5,1.0
14,0.5,3.0,5.0,1.5,0.0
15,0.0,4.0,1.0,2.0,0.0
16,0.25,2.75,2.75,4.75,0.0
17,9.0,4.0,5.0,1.0,1.0
18,7.0,1.0,4.0,5.0,2.0
19,8.0,5.0,2.333,4.0,1.0
20,1.0,1.0,3.5,4.0,1.0
21,7.75,1.0,1.25,4.75,1.0
22,5.5,1.0,3.0,4.0,1.0
23,8.2,2.6,1.0,2.4,0.0
24,1.5,2.0,4.5,3.0,1.0
25,5.0,4.0,4.0,1.5,0.0
26,2.5,3.0,4.5,1.0,0.0
27,7.0,1.0,4.5,2.25,2.0
28,5.0,4.75,2.0,3.0,0.0
29,2.5,5.0,4.0,3.5,0.0
30,0.0,2.5,2.0,3.0,0.0
31,4.333,2.0,4.0,2.667,2.0
32,8.667,2.333,2.0,3.0,1.0
33,5.0,4.5,2.0,5.0,0.0
34,7.5,1.5,4.0,1.0,0.0
35,4.5,3.5,2.0,4.0,1.0
36,8.667,5.0,5.0,2.333,1.0
37,7.5,3.5,2.0,4.0,2.0
38,5.0,3.5,1.0,3.0,1.0
39,8.5,2.0,2.0,1.5,2.0
40,1.5,3.0,5.0,4.5,1.0
41,0.5,4.0,3.0,4.5,1.0
42,6.5,5.0,1.5,2.0,1.0
